Date,Nb_passengers
2022-09-01,2916061
2022-08-01,3082908
2022-07-01,3232882
2022-06-01,2878124
2022-05-01,2700017
2022-04-01,2515576
2022-03-01,1841627
2022-02-01,1337885
2022-01-01,990310
2021-12-01,1411905
2021-11-01,1497087
2021-10-01,1986377
2021-09-01,1782961
2021-08-01,1882393
2021-07-01,1517376
2021-06-01,996318
2021-05-01,673941
2021-04-01,377532
2021-03-01,222588
2021-02-01,125431
2021-01-01,329124
2020-12-01,538289
2020-11-01,328584
2020-10-01,687433
2020-09-01,868400
2020-08-01,1077765
2020-07-01,738937
2020-06-01,176032
2020-05-01,41346
2020-04-01,14890
2020-03-01,939486
2020-02-01,1888732
2020-01-01,1784992
2019-12-01,2051207
2019-11-01,1926196
2019-10-01,2661857
2019-09-01,2947318
2019-08-01,3139215
2019-07-01,3269119
2019-06-01,2943480
2019-05-01,2807836
2019-04-01,2687390
2019-03-01,2153506
2019-02-01,1721255
2019-01-01,1658374
2018-12-01,1908797
2018-11-01,1778842
2018-10-01,2556518
2018-09-01,2772294
2018-08-01,2923502
2018-07-01,3072024
2018-06-01,2743035
2018-05-01,2632923
2018-04-01,2431572
2018-03-01,2046613
2018-02-01,1630825
2018-01-01,1559744
2017-12-01,1825303
2017-11-01,1652930
2017-10-01,2388673
2017-09-01,2638478
2017-08-01,2809914
2017-07-01,2964717
2017-06-01,2574931
2017-05-01,2427139
2017-04-01,2319712
2017-03-01,1794413
2017-02-01,1473431
2017-01-01,1396458
