,Overnight_Pred,Date,Overnight_Real
0,3179494.261011903,2020-01-01,3258226
1,3664983.134226188,2020-02-01,3817043
2,4899362.132440473,2020-03-01,1875506
3,5702608.255654759,2020-04-01,133212
4,6625398.9622023795,2020-05-01,261593
5,7063614.168749997,2020-06-01,1031062
6,8316278.354464283,2020-07-01,2631261
7,9565013.373511903,2020-08-01,5082349
8,7671627.767559521,2020-09-01,3534350
9,6546604.41160714,2020-10-01,2300257
10,4027409.9098214256,2020-11-01,920058
11,3609370.1580357114,2020-12-01,953382
12,3340163.23958333,2021-01-01,688039
13,3825652.112797616,2021-02-01,459904
14,5060031.111011901,2021-03-01,615727
15,5863277.234226187,2021-04-01,921028
16,6786067.9407738075,2021-05-01,2024210
17,7224283.147321425,2021-06-01,3401792
18,8476947.333035711,2021-07-01,4538643
19,9725682.35208333,2021-08-01,7507272
20,7832296.746130949,2021-09-01,5585513
21,6707273.390178568,2021-10-01,5468960
22,4188078.8883928536,2021-11-01,3556760
23,3770039.1366071394,2021-12-01,2564574
24,3500832.218154758,2022-01-01,1988869
25,3986321.091369044,2022-02-01,2920471
26,5220700.089583329,2022-03-01,4006723
27,6023946.212797615,2022-04-01,6006236
28,6946736.919345235,2022-05-01,6511175
29,7384952.125892853,2022-06-01,7167299
30,8637616.311607137,2022-07-01,8623586
31,9886351.330654757,2022-08-01,9935751
32,7992965.724702377,2022-09-01,7664771
33,6867942.368749996,2022-10-01,6769497
34,4348747.866964282,2022-11-01,4246059
