Date,sleeps
2017-01-01,2657847
2017-02-01,3081026
2017-03-01,4015775
2017-04-01,5706131
2017-05-01,6002029
2017-06-01,6716372
2017-07-01,7841656
2017-08-01,9021656
2017-09-01,7194693
2017-10-01,6071385
2017-11-01,3537490
2017-12-01,3119681
2018-01-01,2843739
2018-02-01,3332670
2018-03-01,4571119
2018-04-01,5374612
2018-05-01,6302074
2018-06-01,6743203
2018-07-01,7974521
2018-08-01,9292740
2018-09-01,7342627
2018-10-01,6250714
2018-11-01,3791610
2018-12-01,3256830
2019-01-01,3034284
2019-02-01,3365240
2019-03-01,4606922
2019-04-01,5981300
2019-05-01,6557840
2019-06-01,7177554
2019-07-01,8231230
2019-08-01,9633427
2019-09-01,7624574
2019-10-01,6358685
2019-11-01,4071968
2019-12-01,3515940
2022-11-01,4246059
2022-10-01,6769497
2022-09-01,7664771
2022-08-01,9935751
2022-07-01,8623586
2022-06-01,7167299
2022-05-01,6511175
2022-04-01,6006236
2022-03-01,4006723
2022-02-01,2920471
2022-01-01,1988869
