,Region1,Date,Nb_passengers
0,Azores,2004-12-31,409411
1,Azores,2005-12-31,429010
2,Azores,2006-12-31,445792
3,Azores,2007-12-31,462587
4,Azores,2008-12-31,451729
5,Azores,2009-12-31,434823
6,Azores,2010-12-31,446391
7,Azores,2011-12-31,450039
8,Azores,2012-12-31,435142
9,Azores,2013-12-31,443589
10,Azores,2014-12-31,472778
11,Azores,2015-12-31,619767
12,Azores,2016-12-31,741597
13,Azores,2017-12-31,911364
14,Azores,2018-12-31,941805
15,Azores,2019-12-31,995677
16,Azores,2020-12-31,343935
17,Azores,2021-12-31,623967
18,Azores,2022-12-31,801787
19,Faro,2004-12-31,2256455
20,Faro,2005-12-31,2317218
21,Faro,2006-12-31,2490380
22,Faro,2007-12-31,2677209
23,Faro,2008-12-31,2669363
24,Faro,2009-12-31,2493490
25,Faro,2010-12-31,2633564
26,Faro,2011-12-31,2776223
27,Faro,2012-12-31,2806844
28,Faro,2013-12-31,2963916
29,Faro,2014-12-31,3053944
30,Faro,2015-12-31,3182403
31,Faro,2016-12-31,3783527
32,Faro,2017-12-31,4335963
33,Faro,2018-12-31,4302014
34,Faro,2019-12-31,4467053
35,Faro,2020-12-31,1077093
36,Faro,2021-12-31,1630261
37,Faro,2022-12-31,3310729
38,Lisboa,2004-12-31,5243954
39,Lisboa,2005-12-31,5512809
40,Lisboa,2006-12-31,6064005
41,Lisboa,2007-12-31,6611900
42,Lisboa,2008-12-31,6752976
43,Lisboa,2009-12-31,6600460
44,Lisboa,2010-12-31,7002051
45,Lisboa,2011-12-31,7391153
46,Lisboa,2012-12-31,7630647
47,Lisboa,2013-12-31,7999861
48,Lisboa,2014-12-31,9092464
49,Lisboa,2015-12-31,10066374
50,Lisboa,2016-12-31,11261085
51,Lisboa,2017-12-31,13387039
52,Lisboa,2018-12-31,14589172
53,Lisboa,2019-12-31,15653494
54,Lisboa,2020-12-31,4608553
55,Lisboa,2021-12-31,6116251
56,Lisboa,2022-12-31,10525397
57,Madeira,2004-12-31,1124661
58,Madeira,2005-12-31,1149153
59,Madeira,2006-12-31,1170905
60,Madeira,2007-12-31,1202969
61,Madeira,2008-12-31,1214122
62,Madeira,2009-12-31,1165616
63,Madeira,2010-12-31,1103147
64,Madeira,2011-12-31,1143828
65,Madeira,2012-12-31,1092242
66,Madeira,2013-12-31,1178547
67,Madeira,2014-12-31,1221710
68,Madeira,2015-12-31,1293960
69,Madeira,2016-12-31,1478563
70,Madeira,2017-12-31,1597769
71,Madeira,2018-12-31,1590530
72,Madeira,2019-12-31,1600396
73,Madeira,2020-12-31,549938
74,Madeira,2021-12-31,957490
75,Madeira,2022-12-31,1431893
76,Porto,2004-12-31,1435158
77,Porto,2005-12-31,1504715
78,Porto,2006-12-31,1646606
79,Porto,2007-12-31,1944214
80,Porto,2008-12-31,2232383
81,Porto,2009-12-31,2229606
82,Porto,2010-12-31,2609663
83,Porto,2011-12-31,2963976
84,Porto,2012-12-31,2987538
85,Porto,2013-12-31,3150224
86,Porto,2014-12-31,3418940
87,Porto,2015-12-31,4003902
88,Porto,2016-12-31,4655436
89,Porto,2017-12-31,5359258
90,Porto,2018-12-31,5927374
91,Porto,2019-12-31,6522895
92,Porto,2020-12-31,2202752
93,Porto,2021-12-31,2913797
94,Porto,2022-12-31,4746951
