Período de referência dos dados (1) ;Dormidas (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2013) e Segmento (alojamento turístico) -  Mensal;
Novembro de 2022;Total;4246059;
Outubro de 2022;Total;6769497;
Setembro de 2022;Total;7664771;
Agosto de 2022;Total;9935751;
Julho de 2022;Total;8623586;
Junho de 2022;Total;7167299;
Maio de 2022;Total;6511175;
Abril de 2022;Total;6006236;
Março de 2022;Total;4006723;
Fevereiro de 2022;Total;2920471;
Janeiro de 2022;Total;1988869;
